RecID;MStamp;MStation;IDDocumentActief;IDDocumentPassief;RelatieType
1018332;2010-03-10;1;1008532;1008406;2
1018333;2010-03-10;1;1018826;1008406;2
1018334;2010-03-10;1;1018819;1013779;0
1018335;2010-03-10;1;1018820;1017236;1
1018336;2010-03-10;1;1018820;1018827;0
1018338;2010-03-10;1;1018821;1018636;2
1018339;2010-03-10;1;1018822;1017710;2
1018340;2010-03-10;1;1018828;1008406;2
1018341;2010-03-11;1;1018830;1008406;2
1018343;2010-03-11;1;1018831;1008406;2
1018344;2010-03-11;1;1018832;1008406;2
1018345;2010-03-11;1;1018833;1008406;2
1018346;2010-03-11;1;1000454;1000540;2
1018347;2010-03-11;1;1018834;1000540;2
1018348;2010-03-11;1;1003235;1000540;2
1018349;2010-03-11;1;1000389;1000540;2
1018350;2010-03-11;1;1000517;1000540;2
1018351;2010-03-11;1;1000465;1000540;2
1018353;2010-03-11;1;1013087;1000540;2
1018354;2010-03-11;1;1000545;1000540;2
1018355;2010-03-11;1;1018835;1000540;2
1018356;2010-03-11;1;1000540;1004697;1
1018357;2010-03-11;1;1000540;1003162;1
1018358;2010-03-11;1;1000540;1018207;1
1018359;2010-03-11;1;1000540;1012792;1
1018360;2010-03-11;1;1000540;1001072;1
1018361;2010-03-11;1;1003438;1001301;2
1018362;2010-03-11;1;1018836;1001301;2
1018363;2010-03-11;1;1010244;1001301;2
1018364;2010-03-11;1;1000446;1000510;1
1018365;2010-03-11;1;1000446;1004697;1
1018366;2010-03-11;1;1009106;1018837;0
1018367;2010-03-11;1;1005627;1000083;0
1018368;2010-03-12;1;1018838;1016984;2
1018369;2010-03-12;1;1001936;1004761;2
1018370;2010-03-12;1;1018839;1004761;2
1018371;2010-03-12;1;1018840;1001409;2
1018372;2010-03-12;1;1007404;1007341;1
1018373;2010-03-12;1;1007365;1007341;1
1018374;2010-03-12;1;1000724;1003883;0
1018375;2010-03-12;1;1000465;1000539;0
1018376;2010-03-12;1;1000539;1004697;1
1018377;2010-03-12;1;1018841;1000539;2
1018378;2010-03-12;1;1008831;1009329;1
1018379;2010-03-12;1;1000465;1000538;0
1018380;2010-03-12;1;1000538;1004697;1
1018381;2010-03-12;1;1014142;1001142;2
1018382;2010-03-12;1;1018843;1006783;2
1018383;2010-03-12;1;1018844;1018845;2
1018384;2010-03-12;1;1018846;1018845;0
1018385;2010-03-12;1;1018847;1018848;2
1018386;2010-03-15;1;1018849;1017242;1
1018387;2010-03-15;1;1018850;1017575;2
1018388;2010-03-16;1;1018852;1015074;2
1018389;2010-03-17;1;1001110;1002805;2
1018390;2010-03-17;1;1018853;1018227;1
1018391;2010-03-17;1;1018789;1006981;2
1018392;2010-03-18;1;1006981;1006784;2
1018393;2010-03-18;1;1006981;1018860;2
1018394;2010-03-18;1;1006977;1018860;2
1018395;2010-03-18;1;1006981;1018861;0
1018396;2010-03-18;1;1006978;1018863;2
1018397;2010-03-18;1;1006986;1018863;2
1018398;2010-03-18;1;1018864;1006977;2
1018399;2010-03-18;1;1018864;1018863;2
1018400;2010-03-18;1;1018856;1018062;10
1018401;2010-03-19;1;1018870;1009290;2
1018402;2010-03-19;1;1018758;1009290;2
1018403;2010-03-19;1;1018871;1009290;2
1018404;2010-03-19;1;1018090;1018107;2
1018405;2010-03-19;1;1018866;1018064;2
1018406;2010-03-19;1;1018867;1018360;1
1018407;2010-03-19;1;1018872;1005502;2
1018408;2010-03-19;1;1018868;1013054;1
1018409;2010-03-22;1;1018873;1013616;0
1018410;2010-03-22;1;1018876;1008520;2
1018411;2010-03-22;1;1018873;1000696;1
1018412;2010-03-22;1;1018874;1002169;2
1018413;2010-03-22;1;1018875;1018360;1
1018414;2010-03-22;1;1018875;1017373;0
1018415;2010-03-22;1;1018877;1008520;2
1018416;2010-03-22;1;1018879;1006983;2
1018417;2010-03-22;1;1015837;1006986;2
1018418;2010-03-22;1;1018879;1006986;2
1018419;2010-03-22;1;1018880;1006986;2
1018420;2010-03-23;1;1018881;1017900;1
1018421;2010-03-23;1;1018882;1017900;1
1018422;2010-03-23;1;1018883;1008191;1
1018423;2010-03-23;1;1018883;1013260;1
1018424;2010-03-23;1;1018883;1016620;0
1018425;2010-03-23;1;1018883;1018776;0
1018426;2010-03-24;1;1018884;1015512;1
1018427;2010-03-25;1;1014578;1018886;1
1018429;2010-03-25;1;1018886;1006851;2
1018430;2010-03-29;1;1018898;1001802;2
1018431;2010-03-29;1;1018899;1007938;1
1018432;2010-03-29;1;1018899;1007945;1
1018433;2010-03-29;1;1018899;1016973;1
1018434;2010-03-29;1;1018899;1017783;1
1018435;2010-03-29;1;1018899;1018248;1
1018437;2010-03-29;1;1018899;1008258;2
1018438;2010-03-29;1;1018899;1016019;0
1018439;2010-03-29;1;1018899;1016278;0
1018440;2010-03-30;1;1018901;1015615;1
1018441;2010-03-30;1;1018901;1017756;0
1018442;2010-03-31;1;1018903;1018905;0
1018443;2010-04-01;1;1018906;1018636;2
1018444;2010-04-01;1;1018907;1018636;2
1018445;2010-04-01;1;1018908;1016405;1
1018446;2010-04-01;1;1018909;1018609;1
1018447;2010-04-01;1;1018910;1018609;1
1018448;2010-04-06;1;1018912;1015782;2
1018449;2010-04-08;1;1018913;1018920;2
1018450;2010-04-08;1;1018913;1001305;2
1018451;2010-04-08;1;1018913;1001875;2
1018452;2010-04-08;1;1018913;1007581;2
1018453;2010-04-08;1;1018914;1018136;2
1018454;2010-04-08;1;1018915;1013378;2
1018455;2010-04-08;1;1018916;1014389;1
1018456;2010-04-08;1;1018917;1000718;2
1018457;2010-04-08;1;1018917;1000716;2
1018458;2010-04-08;1;1018917;1017260;2
1018459;2010-04-09;1;1018921;1006659;1
1018460;2010-04-09;1;1018921;1008928;0
1018461;2010-04-09;1;1018922;1006488;2
1018462;2010-04-09;1;1018923;1015331;2
1018463;2010-04-09;1;1018924;1011798;1
1018464;2010-04-13;1;1018927;1018245;1
1018465;2010-04-13;1;1018927;1017900;1
1018466;2010-04-13;1;1018927;1008006;0
1018467;2010-04-13;1;1018927;1013928;0
1018468;2010-04-13;1;1018927;1010833;0
1018469;2010-04-14;1;1018928;1013292;2
1018470;2010-04-15;1;1018930;1000296;2
1018471;2010-04-15;1;1018930;1005770;2
1018472;2010-04-15;1;1018931;1015233;1
1018473;2010-04-15;1;1018932;1015233;1
1018474;2010-04-15;1;1000537;1001305;1
1018475;2010-04-15;1;1000537;1000465;1
1018476;2010-04-15;1;1000537;1004697;1
1018477;2010-04-15;1;1000385;1000537;2
1018478;2010-04-15;1;1005385;1005384;1
1018479;2010-04-15;1;1001303;1005385;2
1018480;2010-04-15;1;1018933;1005385;2
1018481;2010-04-15;1;1011533;1018934;2
1018482;2010-04-15;1;1002093;1000435;2
1018483;2010-04-16;1;1018935;1014081;1
1018484;2010-04-19;1;1018936;1017669;2
1018485;2010-04-19;1;1018937;1015326;2
1018486;2010-04-19;1;1018939;1010515;1
1018488;2010-04-20;1;1018863;1004736;1
1018490;2010-04-21;1;1000536;1004697;1
1018492;2010-04-21;1;1018944;1007644;2
