RecID;MStamp;MStation;IDArtHistActief;IdArtHistPassief;RelatieType
1000571;2006-07-26;1;1068148;1068164;0
1000576;2006-07-26;1;1068183;1068189;0
1000577;2006-07-26;1;1068183;1068190;0
1000578;2006-07-26;1;1068183;1068191;0
1000579;2006-07-26;1;1068183;1068192;0
1000580;2006-07-26;1;1068183;1068193;0
1000581;2006-07-26;1;1068183;1068194;0
1000582;2006-07-26;1;1068183;1068195;0
1000583;2006-07-26;1;1068183;1068196;0
1000584;2006-07-26;1;1068183;1068197;0
1000585;2006-07-26;1;1068183;1068198;0
1000586;2006-07-26;1;1068183;1068199;0
1000587;2006-07-26;1;1068183;1068200;0
1000589;2006-07-26;1;1053859;1068136;1
1000590;2006-07-26;1;1063756;1068137;1
1000591;2006-07-26;1;1063757;1068137;1
1000592;2006-07-26;1;1063758;1068137;1
1000593;2006-07-26;1;1063759;1068137;1
1000594;2006-07-26;1;1063760;1068137;1
1000595;2006-07-26;1;1063761;1068137;1
1000596;2006-07-26;1;1063762;1068137;1
1000597;2006-07-26;1;1063763;1068137;1
1000598;2006-07-26;1;1063764;1068137;1
1000600;2006-07-26;1;1063765;1068137;1
1000601;2006-07-26;1;1064396;1068140;1
1000603;2006-07-26;1;1068219;1068222;0
1000604;2006-07-26;1;1068219;1068223;0
1000605;2006-07-26;1;1068219;1068224;0
1000606;2006-07-26;1;1068219;1068225;0
1000607;2006-07-26;1;1068219;1068226;0
1000608;2006-07-26;1;1068219;1068227;0
1000609;2006-07-26;1;1068219;1068228;0
1000611;2006-07-26;1;1068217;1068231;2
1000612;2006-07-26;1;1068218;1068233;2
1000613;2006-07-26;1;1068215;1068229;8
1000614;2006-07-26;1;1068238;1068246;2
1000615;2006-07-27;1;1068239;1068247;2
1000616;2006-07-27;1;1068240;1068248;2
1000617;2006-07-27;1;1068241;1068251;2
1000619;2006-07-27;1;1068257;1068260;0
1000620;2006-07-27;1;1068257;1068261;0
1000621;2006-07-27;1;1068257;1068262;0
1000622;2006-07-27;1;1068257;1068263;0
1000623;2006-07-27;1;1068257;1068264;0
1000624;2006-07-27;1;1068257;1068265;0
1000625;2006-07-27;1;1068257;1068266;0
1000626;2006-07-27;1;1068242;1068267;2
1000627;2006-07-27;1;1068243;1068268;2
1000629;2006-07-27;1;1068282;1068289;0
1000631;2006-07-27;1;1068282;1068290;0
1000632;2006-07-27;1;1068282;1068291;0
1000633;2006-07-27;1;1068282;1068292;0
1000634;2006-07-27;1;1068282;1068293;0
1000636;2006-07-27;1;1068330;1068345;2
1000637;2006-07-27;1;1068331;1068345;2
1000638;2006-07-27;1;1068332;1068346;2
1000639;2006-07-27;1;1068333;1068347;2
1000640;2006-07-27;1;1068334;1068348;2
1000641;2006-07-27;1;1068335;1068349;2
1000642;2006-07-27;1;1068336;1068349;2
1000643;2006-07-27;1;1068337;1068353;2
1000644;2006-07-27;1;1068338;1068356;2
1000645;2006-07-27;1;1068351;1068357;2
1000646;2006-07-27;1;1068339;1068358;2
1000647;2006-07-27;1;1068352;1068359;2
1000648;2006-07-27;1;1068340;1068360;8
1000649;2006-07-27;1;1068354;1068361;2
1000650;2006-07-27;1;1068355;1068363;2
1000651;2006-07-27;1;1068375;1068399;2
1000652;2006-07-27;1;1068376;1068399;2
1000653;2006-07-27;1;1068377;1068404;2
1000654;2006-07-27;1;1068378;1068405;2
1000655;2006-07-27;1;1068379;1068407;2
1000656;2006-07-27;1;1068380;1068409;2
1000657;2006-07-27;1;1068401;1068406;2
1000658;2006-07-27;1;1068402;1068408;2
1000660;2006-07-27;1;1068382;1068417;2
1000661;2006-07-27;1;1068383;1068418;2
1000662;2006-07-27;1;1068385;1068420;2
1000663;2006-07-27;1;1068389;1068421;2
1000664;2006-07-27;1;1068391;1068421;2
1000665;2006-07-27;1;1068393;1068422;0
1000666;2006-07-27;1;1068393;1068423;0
1000667;2006-07-27;1;1068429;1068436;2
1000668;2006-07-27;1;1068430;1068437;2
1000669;2006-07-27;1;1068431;1068438;2
1000670;2006-07-27;1;1068433;1068439;2
1000671;2006-07-28;1;1068440;1068448;2
1000672;2006-07-28;1;1068424;1068461;2
1000673;2006-07-28;1;1068452;1068463;2
1000674;2006-07-28;1;1068453;1068463;2
1000675;2006-07-28;1;1068454;1068463;2
1000676;2006-07-28;1;1068425;1068462;2
1000677;2006-07-28;1;1068426;1068466;2
1000678;2006-07-28;1;1068444;1068450;2
1000679;2006-07-28;1;1068441;1068449;2
1000680;2006-07-28;1;1068445;1068449;2
1000681;2006-07-28;1;1068445;1068477;2
1000682;2006-07-28;1;1068445;1068481;2
1000683;2006-07-28;1;1068445;1068451;2
1000684;2006-07-28;1;1068445;1068456;2
1000685;2006-07-28;1;1068445;1068457;2
1000686;2006-07-28;1;1068445;1068458;2
1000687;2006-07-28;1;1068445;1068459;2
1000688;2006-07-28;1;1068445;1068460;2
1000689;2006-07-28;1;1068445;1068464;2
1000690;2006-07-28;1;1068445;1068465;2
1000691;2006-07-28;1;1068445;1068468;2
1000692;2006-07-28;1;1068445;1068471;2
