Recid;MStamp;MStation;IDArtikelHistoriek;IDDocument;IDRelatieTypeArt;IDRelatieTypeDoc
1000504;2008-06-12;1;1055779;1016827;1;1
1000506;2008-06-12;1;1097816;1016828;1;1
1000507;2008-06-13;1;1012212;1016832;1;1
1000508;2008-06-18;1;1048805;1016844;1;1
1000509;2008-06-23;1;1064394;1016855;1;1
1000510;2008-06-25;1;1078871;1016861;1;1
1000511;2008-06-26;1;1014213;1016866;1;1
1000512;2008-06-26;1;1024912;1016866;1;1
1000513;2008-06-26;1;1035078;1016866;1;1
1000514;2008-06-26;1;1081879;1016866;1;1
1000515;2008-06-26;1;1087179;1016863;1;1
1000516;2008-06-27;1;1089928;1016870;1;1
1000517;2008-07-01;1;1104648;1016873;1;1
1000520;2008-07-04;1;1046042;1016880;1;1
1000521;2008-07-08;1;1061081;1016886;1;1
1000522;2008-07-08;1;1061081;1016887;1;1
1000523;2008-07-08;1;1061081;1016888;1;1
1000524;2008-07-15;1;1083726;1016900;1;1
1000525;2008-07-15;1;1025632;1016900;1;1
1000526;2008-07-15;1;1027577;1016900;1;1
1000527;2008-07-15;1;1037734;1016900;1;1
1000528;2008-07-18;1;1049898;1016906;1;1
1000529;2008-07-22;1;1062937;1016908;1;1
1000530;2008-07-22;1;1062937;1016909;1;1
1000531;2008-07-22;1;1062937;1016910;1;1
1000532;2008-07-22;1;1062937;1016911;1;1
1000533;2008-07-22;1;1062937;1016912;1;1
1000534;2008-07-22;1;1104344;1016912;1;1
1000536;2008-07-22;1;1104242;1016911;1;1
1000537;2008-07-22;1;1104242;1016910;1;1
1000538;2008-07-22;1;1104242;1016909;1;1
1000539;2008-07-22;1;1104344;1016908;1;1
1000540;2008-07-22;1;1062937;1016913;1;1
1000541;2008-07-22;1;1104344;1016913;1;1
1000542;2008-07-22;1;1062937;1016914;1;1
1000543;2008-07-22;1;1104344;1016914;1;1
1000544;2008-07-25;1;1110269;1016926;3;7
1000545;2008-07-25;1;1110272;1016926;3;7
1000546;2008-07-25;1;1032078;1016927;1;1
1000547;2008-07-25;1;1032114;1016927;1;1
1000548;2008-07-25;1;1036143;1016931;1;1
1000549;2008-08-11;1;1085872;1016949;1;1
1000550;2008-08-11;1;1108053;1016949;1;1
1000551;2008-08-13;1;1094886;1016961;1;1
1000552;2008-08-18;1;1094945;1016967;1;1
1000553;2008-08-18;1;1095029;1016967;1;1
1000554;2008-08-18;1;1110442;1016965;1;1
1000555;2008-08-21;1;1063800;1016972;1;1
1000556;2008-08-21;1;1048573;1016971;1;1
1000557;2008-08-22;1;1096201;1016984;1;1
1000558;2008-08-22;1;1110450;1016984;1;1
1000559;2008-08-28;1;1014213;1017002;1;1
1000561;2008-09-03;1;1113412;1016245;3;7
1000562;2008-09-05;1;1094939;1017036;1;1
1000563;2008-09-05;1;1083849;1017036;1;1
1000565;2008-09-19;1;1084897;1017077;1;1
1000566;2008-09-23;1;1035196;1017081;1;1
1000567;2008-09-25;1;1106189;1017085;1;1
1000568;2008-09-29;1;1048573;1017093;1;1
1000569;2008-09-29;1;1048573;1017094;1;1
1000570;2008-09-29;1;1048573;1017095;1;1
1000571;2008-09-30;1;1094886;1017106;1;1
1000572;2008-09-30;1;1094886;1017107;1;1
1000573;2008-09-30;1;1094886;1017108;1;1
1000574;2008-09-30;1;1094886;1017109;1;1
1000575;2008-09-30;1;1094886;1017110;1;1
1000576;2008-10-01;1;1094886;1017112;1;1
1000577;2008-10-03;1;1091643;1017121;1;1
1000578;2008-10-03;1;1054455;1017123;1;1
1000579;2008-10-03;1;1054967;1017123;1;1
1000580;2008-10-06;1;1050575;1017127;1;1
1000581;2008-10-06;1;1050575;1017128;1;1
1000582;2008-10-06;1;1050575;1017129;1;1
1000583;2008-10-06;1;1050575;1017130;1;1
1000584;2008-10-06;1;1102900;1017131;1;1
1000585;2008-10-06;1;1086546;1017131;1;1
1000586;2008-10-08;1;1026934;1017133;1;1
1000587;2008-10-08;1;1029189;1017133;1;1
1000588;2008-10-08;1;1048573;1017135;1;1
1000589;2008-10-09;1;1074978;1017138;1;1
1000590;2008-10-09;1;1078706;1017139;1;1
