RecID;MStamp;MStation;IDDocument;IDTrefwoord
1000351;2006-06-24;1;1000298;1000051
1000352;2006-06-24;1;1000301;1000172
1000353;2006-06-24;1;1000306;1000173
1000354;2006-06-24;1;1000306;1000174
1000355;2006-06-24;1;1000306;1000060
1000356;2006-06-24;1;1000306;1000061
1000357;2006-06-24;1;1000306;1000062
1000358;2006-06-24;1;1000306;1000050
1000359;2006-06-24;1;1000306;1000051
1000360;2006-06-24;1;1000306;1000038
1000361;2006-06-24;1;1000306;1000039
1000362;2006-06-24;1;1000308;1000175
1000363;2006-06-24;1;1000312;1000156
1000366;2006-06-24;1;1000316;1000176
1000367;2006-06-24;1;1000316;1000163
1000368;2006-06-24;1;1000318;1000177
1000369;2006-06-24;1;1000318;1000178
1000370;2006-06-24;1;1000318;1000179
1000371;2006-06-24;1;1000328;1000138
1000372;2006-06-24;1;1000328;1000098
1000373;2006-06-24;1;1000329;1000180
1000374;2006-06-24;1;1000329;1000181
1000375;2006-06-24;1;1000329;1000182
1000376;2006-06-24;1;1000330;1000183
1000377;2006-06-24;1;1000330;1000184
1000378;2006-06-24;1;1000334;1000041
1000379;2006-06-24;1;1000334;1000042
1000380;2006-06-24;1;1000334;1000043
1000381;2006-06-24;1;1000334;1000044
1000382;2006-06-24;1;1000334;1000045
1000383;2006-06-24;1;1000334;1000046
1000384;2006-06-24;1;1000334;1000047
1000385;2006-06-24;1;1000334;1000048
1000386;2006-06-24;1;1000334;1000185
1000387;2006-06-24;1;1000334;1000186
1000388;2006-06-24;1;1000335;1000187
1000389;2006-06-24;1;1000335;1000041
1000390;2006-06-24;1;1000335;1000042
1000391;2006-06-24;1;1000335;1000043
1000392;2006-06-24;1;1000335;1000044
1000393;2006-06-24;1;1000335;1000045
1000394;2006-06-24;1;1000335;1000046
1000395;2006-06-24;1;1000335;1000047
1000396;2006-06-24;1;1000335;1000048
1000397;2006-06-24;1;1000336;1000187
1000400;2006-06-24;1;1000352;1000188
1000401;2006-06-24;1;1000352;1000189
1000402;2006-06-24;1;1000352;1000065
1000403;2006-06-24;1;1000352;1000066
1000404;2006-06-24;1;1000352;1000067
1000405;2006-06-24;1;1000352;1000068
1000406;2006-06-24;1;1000352;1000156
1000407;2006-06-24;1;1000357;1000118
1000408;2006-06-24;1;1000357;1000119
1000409;2006-06-24;1;1000357;1000065
1000410;2006-06-24;1;1000357;1000066
1000411;2006-06-24;1;1000357;1000067
1000412;2006-06-24;1;1000357;1000068
1000413;2006-06-24;1;1000358;1000105
1000414;2006-06-24;1;1000358;1000104
1000415;2006-06-24;1;1000358;1000106
1000416;2006-06-24;1;1000358;1000107
1000417;2006-06-24;1;1000362;1000190
1000418;2006-06-24;1;1000362;1000191
1000419;2006-06-24;1;1000371;1000192
1000420;2006-06-24;1;1000371;1000193
1000421;2006-06-24;1;1000371;1000194
1000422;2006-06-24;1;1000372;1000133
