RecID;MStamp;MStation;IDDocument;IDDeelCD
1000238;2006-06-24;1;1000238;1000001
1000239;2006-06-24;1;1000239;1000001
1000240;2006-06-24;1;1000240;1000001
1000241;2006-06-24;1;1000241;1000001
1000242;2006-06-24;1;1000242;1000001
1000243;2006-06-24;1;1000243;1000001
1000244;2006-06-24;1;1000244;1000001
1000245;2006-06-24;1;1000245;1000001
1000246;2006-06-24;1;1000246;1000001
1000247;2006-06-24;1;1000247;1000001
1000248;2006-06-24;1;1000248;1000001
1000249;2006-06-24;1;1000249;1000001
1000250;2006-06-24;1;1000250;1000001
1000251;2006-06-24;1;1000251;1000001
1000252;2006-06-24;1;1000252;1000001
1000253;2006-06-24;1;1000253;1000001
1000254;2006-06-24;1;1000254;1000001
1000255;2006-06-24;1;1000255;1000001
1000256;2006-06-24;1;1000256;1000001
1000257;2006-06-24;1;1000257;1000001
1000258;2006-06-24;1;1000258;1000001
1000259;2006-06-24;1;1000259;1000001
1000260;2006-06-24;1;1000260;1000001
1000261;2006-06-24;1;1000261;1000001
1000262;2006-06-24;1;1000262;1000001
1000263;2006-06-24;1;1000263;1000001
1000264;2006-06-24;1;1000264;1000001
1000265;2006-06-24;1;1000265;1000001
1000266;2006-06-24;1;1000266;1000001
1000267;2006-06-24;1;1000267;1000001
1000268;2006-06-24;1;1000268;1000001
1000269;2006-06-24;1;1000269;1000001
1000270;2006-06-24;1;1000270;1000001
1000271;2006-06-24;1;1000271;1000001
1000272;2006-06-24;1;1000272;1000001
1000274;2006-06-24;1;1000274;1000001
1000275;2006-06-24;1;1000275;1000001
1000276;2006-06-24;1;1000276;1000001
1000277;2006-06-24;1;1000277;1000001
1000278;2006-06-24;1;1000278;1000001
1000279;2006-06-24;1;1000279;1000001
1000280;2006-06-24;1;1000280;1000001
1000281;2006-06-24;1;1000281;1000001
1000282;2006-06-24;1;1000282;1000001
1000283;2006-06-24;1;1000283;1000001
1000284;2006-06-24;1;1000284;1000001
1000285;2006-06-24;1;1000285;1000001
1000286;2006-06-24;1;1000286;1000001
1000287;2006-06-24;1;1000287;1000001
1000288;2006-06-24;1;1000288;1000001
1000289;2006-06-24;1;1000289;1000001
1000290;2006-06-24;1;1000290;1000001
1000291;2006-06-24;1;1000291;1000001
1000292;2006-06-24;1;1000292;1000001
1000293;2006-06-24;1;1000293;1000001
1000294;2006-06-24;1;1000294;1000001
1000295;2006-06-24;1;1000295;1000001
1000296;2006-06-24;1;1000296;1000001
1000297;2006-06-24;1;1000297;1000001
1000298;2006-06-24;1;1000298;1000001
1000299;2006-06-24;1;1000299;1000001
1000300;2006-06-24;1;1000300;1000001
1000301;2006-06-24;1;1000301;1000001
1000302;2006-06-24;1;1000302;1000001
1000303;2006-06-24;1;1000303;1000001
1000304;2006-06-24;1;1000304;1000001
1000305;2006-06-24;1;1000305;1000001
1000306;2006-06-24;1;1000306;1000001
1000307;2006-06-24;1;1000307;1000001
1000308;2006-06-24;1;1000308;1000001
1000309;2006-06-24;1;1000309;1000001
1000310;2006-06-24;1;1000310;1000001
1000311;2006-06-24;1;1000311;1000001
1000312;2006-06-24;1;1000312;1000001
1000313;2006-06-24;1;1000313;1000001
1000314;2006-06-24;1;1000314;1000001
1000315;2006-06-24;1;1000315;1000001
1000316;2006-06-24;1;1000316;1000001
1000317;2006-06-24;1;1000317;1000001
1000318;2006-06-24;1;1000318;1000001
1000319;2006-06-24;1;1000319;1000001
1000320;2006-06-24;1;1000320;1000001
1000321;2006-06-24;1;1000321;1000001
1000322;2006-06-24;1;1000322;1000001
1000323;2006-06-24;1;1000323;1000001
1000324;2006-06-24;1;1000324;1000001
1000325;2006-06-24;1;1000325;1000001
1000326;2006-06-24;1;1000326;1000001
1000327;2006-06-24;1;1000327;1000001
1000328;2006-06-24;1;1000328;1000001
1000329;2006-06-24;1;1000329;1000001
1000330;2006-06-24;1;1000330;1000001
1000331;2006-06-24;1;1000331;1000001
1000332;2006-06-24;1;1000332;1000001
1000333;2006-06-24;1;1000333;1000001
1000334;2006-06-24;1;1000334;1000001
1000335;2006-06-24;1;1000335;1000001
1000336;2006-06-24;1;1000336;1000001
1000337;2006-06-24;1;1000337;1000001
1000338;2006-06-24;1;1000338;1000001
1000339;2006-06-24;1;1000339;1000001
1000340;2006-06-24;1;1000340;1000001
1000341;2006-06-24;1;1000341;1000001
1000342;2006-06-24;1;1000342;1000001
1000343;2006-06-24;1;1000343;1000001
1000344;2006-06-24;1;1000344;1000001
1000345;2006-06-24;1;1000345;1000001
1000346;2006-06-24;1;1000346;1000001
1000347;2006-06-24;1;1000347;1000001
1000348;2006-06-24;1;1000348;1000001
1000349;2006-06-24;1;1000349;1000001
1000350;2006-06-24;1;1000350;1000001
1000351;2006-06-24;1;1000351;1000001
1000352;2006-06-24;1;1000352;1000001
1000353;2006-06-24;1;1000353;1000001
1000354;2006-06-24;1;1000354;1000001
1000355;2006-06-24;1;1000355;1000001
1000356;2006-06-24;1;1000356;1000001
1000357;2006-06-24;1;1000357;1000001
1000358;2006-06-24;1;1000358;1000001
1000359;2006-06-24;1;1000359;1000001
1000360;2006-06-24;1;1000360;1000001
1000361;2006-06-24;1;1000361;1000001
1000362;2006-06-24;1;1000362;1000001
1000363;2006-06-24;1;1000363;1000001
1000364;2006-06-24;1;1000364;1000001
1000365;2006-06-24;1;1000365;1000001
1000366;2006-06-24;1;1000366;1000001
1000367;2006-06-24;1;1000367;1000001
1000368;2006-06-24;1;1000368;1000001
1000369;2006-06-24;1;1000369;1000001
1000370;2006-06-24;1;1000370;1000001
1000371;2006-06-24;1;1000371;1000001
1000372;2006-06-24;1;1000372;1000001
1000373;2006-06-24;1;1000373;1000001
1000374;2006-06-24;1;1000374;1000001
1000375;2006-06-24;1;1000375;1000001
1000376;2006-06-24;1;1000376;1000001
1000377;2006-06-24;1;1000377;1000001
1000378;2006-06-24;1;1000378;1000001
1000379;2006-06-24;1;1000379;1000001
1000380;2006-06-24;1;1000380;1000001
1000381;2006-06-24;1;1000381;1000001
1000382;2006-06-24;1;1000382;1000001
1000383;2006-06-24;1;1000383;1000001
1000384;2006-06-24;1;1000384;1000001
1000385;2006-06-24;1;1000385;1000001
1000386;2006-06-24;1;1000386;1000001
1000387;2006-06-24;1;1000387;1000001
1000388;2006-06-24;1;1000388;1000001
1000389;2006-06-24;1;1000389;1000001
1000390;2006-06-24;1;1000390;1000001
1000391;2006-06-24;1;1000391;1000001
1000392;2006-06-24;1;1000392;1000001
1000393;2006-06-24;1;1000393;1000001
1000394;2006-06-24;1;1000394;1000001
1000395;2006-06-24;1;1000395;1000001
1000396;2006-06-24;1;1000396;1000001
1000397;2006-06-24;1;1000397;1000001
1000398;2006-06-24;1;1000398;1000001
1000399;2006-06-24;1;1000399;1000001
1000400;2006-06-24;1;1000400;1000001
1000401;2006-06-24;1;1000401;1000001
1000402;2006-06-24;1;1000402;1000001
1000403;2006-06-24;1;1000403;1000001
1000404;2006-06-24;1;1000404;1000001
1000405;2006-06-24;1;1000405;1000001
1000406;2006-06-24;1;1000406;1000001
1000407;2006-06-24;1;1000407;1000001
1000408;2006-06-24;1;1000408;1000001
1000409;2006-06-24;1;1000409;1000001
1000410;2006-06-24;1;1000410;1000001
1000411;2006-06-24;1;1000411;1000001
1000412;2006-06-24;1;1000412;1000001
1000413;2006-06-24;1;1000413;1000001
1000414;2006-06-24;1;1000414;1000001
1000415;2006-06-24;1;1000415;1000001
1000416;2006-06-24;1;1000416;1000001
1000417;2006-06-24;1;1000417;1000001
1000418;2006-06-24;1;1000418;1000001
1000419;2006-06-24;1;1000419;1000001
1000420;2006-06-24;1;1000420;1000001
1000421;2006-06-24;1;1000421;1000001
1000422;2006-06-24;1;1000422;1000001
1000423;2006-06-24;1;1000423;1000001
1000424;2006-06-24;1;1000424;1000001
1000425;2006-06-24;1;1000425;1000001
1000426;2006-06-24;1;1000426;1000001
1000427;2006-06-24;1;1000427;1000001
1000428;2006-06-24;1;1000428;1000001
1000429;2006-06-24;1;1000429;1000001
1000430;2006-06-24;1;1000430;1000001
1000431;2006-06-24;1;1000431;1000001
1000432;2006-06-24;1;1000432;1000001
1000433;2006-06-24;1;1000433;1000001
1000434;2006-06-24;1;1000434;1000001
1000435;2006-06-24;1;1000435;1000001
1000437;2006-06-24;1;1000437;1000001
1000438;2006-06-24;1;1000438;1000001
1000439;2006-06-24;1;1000439;1000001
1000440;2006-06-24;1;1000440;1000001
1000441;2006-06-24;1;1000441;1000001
1000442;2006-06-24;1;1000442;1000001
1000443;2006-06-24;1;1000443;1000001
1000444;2006-06-24;1;1000444;1000001
1000445;2006-06-24;1;1000445;1000001
1000446;2006-06-24;1;1000446;1000001
1000447;2006-06-24;1;1000447;1000001
1000448;2006-06-24;1;1000448;1000001
1000449;2006-06-24;1;1000449;1000001
1000450;2006-06-24;1;1000450;1000001
1000451;2006-06-24;1;1000451;1000001
1000452;2006-06-24;1;1000452;1000001
1000453;2006-06-24;1;1000453;1000001
1000454;2006-06-24;1;1000454;1000001
1000455;2006-06-24;1;1000455;1000001
1000456;2006-06-24;1;1000456;1000001
1000457;2006-06-24;1;1000457;1000001
1000458;2006-06-24;1;1000458;1000001
1000459;2006-06-24;1;1000459;1000001
1000460;2006-06-24;1;1000460;1000001
1000461;2006-06-24;1;1000461;1000001
1000462;2006-06-24;1;1000462;1000001
1000463;2006-06-24;1;1000463;1000001
1000464;2006-06-24;1;1000464;1000001
1000465;2006-06-24;1;1000465;1000001
1000466;2006-06-24;1;1000466;1000001
1000467;2006-06-24;1;1000467;1000001
1000468;2006-06-24;1;1000468;1000001
1000469;2006-06-24;1;1000469;1000001
1000470;2006-06-24;1;1000470;1000001
1000471;2006-06-24;1;1000471;1000001
1000472;2006-06-24;1;1000472;1000001
1000473;2006-06-24;1;1000473;1000001
1000474;2006-06-24;1;1000474;1000001
1000475;2006-06-24;1;1000475;1000001
1000476;2006-06-24;1;1000476;1000001
1000477;2006-06-24;1;1000477;1000001
1000478;2006-06-24;1;1000478;1000001
1000479;2006-06-24;1;1000479;1000001
1000480;2006-06-24;1;1000480;1000001
1000481;2006-06-24;1;1000481;1000001
1000482;2006-06-24;1;1000482;1000001
1000483;2006-06-24;1;1000483;1000001
1000484;2006-06-24;1;1000484;1000001
1000485;2006-06-24;1;1000485;1000001
1000486;2006-06-24;1;1000486;1000001
1000487;2006-06-24;1;1000487;1000001
1000488;2006-06-24;1;1000488;1000001
1000489;2006-06-24;1;1000489;1000001
1000490;2006-06-24;1;1000490;1000001
1000493;2006-06-24;1;1000493;1000001
1000494;2006-06-24;1;1000494;1000001
1000495;2006-06-24;1;1000495;1000001
1000498;2006-06-24;1;1000498;1000001
1000500;2006-06-24;1;1000500;1000001
1000502;2006-06-24;1;1000502;1000001
1000503;2006-06-24;1;1000503;1000001
1000504;2006-06-24;1;1000504;1000001
1000505;2006-06-24;1;1000505;1000001
1000506;2006-06-24;1;1000506;1000001
1000507;2006-06-24;1;1000507;1000001
1000508;2006-06-24;1;1000508;1000001
1000509;2006-06-24;1;1000509;1000001
1000510;2006-06-24;1;1000510;1000001
1000511;2006-06-24;1;1000511;1000001
1000512;2006-06-24;1;1000512;1000001
1000513;2006-06-24;1;1000513;1000001
1000514;2006-06-24;1;1000514;1000001
1000515;2006-06-24;1;1000515;1000001
1000516;2006-06-24;1;1000516;1000001
1000517;2006-06-24;1;1000517;1000001
1000518;2006-06-24;1;1000518;1000001
1000519;2006-06-24;1;1000519;1000001
1000520;2006-06-24;1;1000520;1000001
1000521;2006-06-24;1;1000521;1000001
1000522;2006-06-24;1;1000522;1000001
1000523;2006-06-24;1;1000523;1000001
1000524;2006-06-24;1;1000524;1000001
1000525;2006-06-24;1;1000525;1000001
1000526;2006-06-24;1;1000526;1000001
1000527;2006-06-24;1;1000527;1000001
1000528;2006-06-24;1;1000528;1000001
1000529;2006-06-24;1;1000529;1000001
1000530;2006-06-24;1;1000530;1000001
1000531;2006-06-24;1;1000531;1000001
1000532;2006-06-24;1;1000532;1000001
1000533;2006-06-24;1;1000533;1000001
1000534;2006-06-24;1;1000534;1000001
1000535;2006-06-24;1;1000535;1000001
1000536;2006-06-24;1;1000536;1000001
1000537;2006-06-24;1;1000537;1000001
1000538;2006-06-24;1;1000538;1000001
1000539;2006-06-24;1;1000539;1000001
1000540;2006-06-24;1;1000540;1000001
1000541;2006-06-24;1;1000541;1000001
1000542;2006-06-24;1;1000542;1000001
1000543;2006-06-24;1;1000543;1000001
1000544;2006-06-24;1;1000544;1000001
1000545;2006-06-24;1;1000545;1000001
1000546;2006-06-24;1;1000546;1000001
1000548;2006-06-24;1;1000548;1000001
1000549;2006-06-24;1;1000549;1000001
1000550;2006-06-24;1;1000550;1000001
1000551;2006-06-24;1;1000551;1000001
1000552;2006-06-24;1;1000552;1000001
1000553;2006-06-24;1;1000553;1000001
1000554;2006-06-24;1;1000554;1000001
1000555;2006-06-24;1;1000555;1000001
1000556;2006-06-24;1;1000556;1000001
1000557;2006-06-24;1;1000557;1000001
1000558;2006-06-24;1;1000558;1000001
1000559;2006-06-24;1;1000559;1000001
1000560;2006-06-24;1;1000560;1000001
1000561;2006-06-24;1;1000561;1000001
1000562;2006-06-24;1;1000562;1000001
1000563;2006-06-24;1;1000563;1000001
1000564;2006-06-24;1;1000564;1000001
1000565;2006-06-24;1;1000565;1000001
1000566;2006-06-24;1;1000566;1000001
1000567;2006-06-24;1;1000567;1000001
1000568;2006-06-24;1;1000568;1000001
1000569;2006-06-24;1;1000569;1000001
1000570;2006-06-24;1;1000570;1000001
1000571;2006-06-24;1;1000571;1000001
1000572;2006-06-24;1;1000572;1000001
1000573;2006-06-24;1;1000573;1000001
1000574;2006-06-24;1;1000574;1000001
1000575;2006-06-24;1;1000575;1000001
1000576;2006-06-24;1;1000576;1000001
1000577;2006-06-24;1;1000577;1000001
1000578;2006-06-24;1;1000578;1000001
1000579;2006-06-24;1;1000579;1000001
